STK_CODE,STK_NAME,STK_LIST,STK_100PC,FORE_SELL,FORE_BUY
AALI,Astra Agro Lestari Tbk.,1924688333,1924688333,679400,165600
ABBA,Mahaka Media Tbk.,2755125000,2755125000,2604300,400000
ABDA,Asuransi Bina Dana Arta Tbk.,620806680,620806680,0,0
ABMM,ABM Investama Tbk.,2753165000,2753165000,0,0
ACES,Ace Hardware Indonesia Tbk.,17150000000,17150000000,7339200,9719400
ACST,Acset Indonusa Tbk.,700000000,700000000,436500,0
ADES,Akasha Wira International Tbk.,589896800,589896800,0,0
ADHI,Adhi Karya (Persero) Tbk.,3560849376,3560849376,4797700,3307900
ADMF,Adira Dinamika Multi Finance Tbk.,1000000000,1000000000,500,0
ADMG,Polychem Indonesia Tbk,3889179559,3889179559,0,0
ADRO,Adaro Energy Tbk.,31985962000,31985962000,11168500,7705400
AGII,Aneka Gas Industri Tbk.,3066660000,3066660000,0,0
AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,21129857328,21129857328,0,0
AGRS,Bank IBK Indonesia Tbk.,7037266148,7037266148,0,0
AHAP,Asuransi Harta Aman Pratama Tbk.,2940000000,2940000000,0,79100
AIMS,Akbar Indo Makmur Stimec Tbk,220000000,220000000,0,0
AISA,Tiga Pilar Sejahtera Food Tbk.,3218600000,3218600000,0,0
AKKU,Anugerah Kagum Karya Utama Tbk.,6449463636,6449463636,0,0
AKPI,Argha Karya Prima Industry Tbk.,680000000,680000000,0,0
AKRA,AKR Corporindo Tbk.,4014694920,4014694920,6347700,6240300
AKSI,Majapahit Inti Corpora Tbk.,720000000,720000000,0,0
ALDO,Alkindo Naratama Tbk.,1100000000,1100000000,0,0
ALKA,Alakasa Industrindo Tbk,507665055,507665055,0,0
ALMI,Alumindo Light Metal Industry Tbk.,616000000,616000000,0,0
ALTO,Tri Banyan Tirta Tbk.,2191870558,2191870558,0,0
AMAG,Asuransi Multi Artha Guna Tbk.,5001552516,5001552516,0,0
AMFG,Asahimas Flat Glass Tbk.,434000000,434000000,0,0
AMIN,Ateliers Mecaniques D Indonesie Tbk.,1080000000,1080000000,0,0
AMRT,Sumber Alfaria Trijaya Tbk.,41524501700,41524501700,0,16900
ANDI,Andira Agro Tbk.,1870000000,1870000000,1805800,19100
ANJT,Austindo Nusantara Jaya Tbk.,3354175000,3354175000,5000,0
ANTM,Aneka Tambang Tbk.,24030764725,24030764725,46672000,14715400
APEX,Apexindo Pratama Duta Tbk.,2659850000,2659850000,0,0
APIC,Pacific Strategic Financial Tbk.,11766313488,11766313488,0,0
APII,Arita Prima Indonesia Tbk.,1075760000,1075760000,0,0
APLI,Asiaplast Industries Tbk.,1362671400,1362671400,0,0
APLN,Agung Podomoro Land Tbk.,19364561700,19364561700,960700,437000
APOL,Arpeni Pratama Ocean Line Tbk.,16452282461,16452282461,0,0
ARGO,Argo Pantes Tbk,335557450,335557450,0,0
ARII,Atlas Resources Tbk.,3000000000,3000000000,11100,0
ARKA,Arkha Jayanti Persada Tbk.,2000000000,2000000000,0,0
ARMY,Armidian Karyatama Tbk.,9006250000,9006250000,97900,0
ARNA,Arwana Citramulia Tbk.,7341430976,7341430976,1200,208800
ARTA,Arthavest Tbk,446674175,446674175,0,0
ARTI,Ratu Prabu Energi Tbk,7840000000,7840000000,0,0
ARTO,Bank Artos Indonesia Tbk.,1194187500,1194187500,0,0
ASBI,Asuransi Bintang Tbk.,348386472,348386472,0,0
ASDM,Asuransi Dayin Mitra Tbk.,192000000,192000000,0,0
ASGR,Astra Graphia Tbk.,1348780500,1348780500,21500,0
ASII,Astra International Tbk.,40483553140,40483553140,30326895,15872700
ASJT,Asuransi Jasa Tania Tbk.,600000000,600000000,0,0
ASMI,Asuransi Kresna Mitra Tbk.,8958380460,8958380460,14100,0
ASRI,Alam Sutera Realty Tbk.,19649411888,19649411888,175100,10000
ASRM,Asuransi Ramayana Tbk.,234064634,234064634,0,0
ASSA,Adi Sarana Armada Tbk.,3397500000,3397500000,417000,0
ATIC,Anabatic Technologies Tbk.,2129335068,2129335068,0,0
AUTO,Astra Otoparts Tbk.,4819733000,4819733000,1926600,75600
BABP,Bank MNC Internasional Tbk.,23190808468,23190808468,0,0
BACA,Bank Capital Indonesia Tbk.,6999771107,6999771107,700,0
BAJA,Saranacentral Bajatama Tbk.,1800000000,1800000000,0,0
BALI,Bali Towerindo Sentra Tbk.,3934592500,3934592500,0,0
BAPA,Bekasi Asri Pemula Tbk.,661784520,661784520,0,0
BAPI,Bhakti Agung Propertindo Tbk.,5591740000,5591740000,0,0
BATA,Sepatu Bata Tbk.,1300000000,1300000000,0,2600
BAYU,Bayu Buana Tbk,353220780,353220780,0,0
BBCA,Bank Central Asia Tbk.,24408459900,24408459900,4360911,6816260
BBHI,Bank Harda Internasional Tbk.,4142587477,4142587477,0,0
BBKP,Bank Bukopin Tbk.,11535389661,11535389661,24100,191600
BBLD,Buana Finance Tbk.,1645796054,1645796054,5500,100
BBMD,Bank Mestika Dharma Tbk.,4049189100,4049189100,0,0
BBNI,Bank Negara Indonesia (Persero) Tbk.,18462169893,18462169893,14939900,6604400
BBRI,Bank Rakyat Indonesia (Persero) Tbk.,122112351900,122112351900,37282370,63030626
BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,5367076248,5367076248,25000,0
BBTN,Bank Tabungan Negara (Persero) Tbk.,10484100000,10484100000,12572400,1262700
BBYB,Bank Yudha Bhakti Tbk.,6100164280,6100164280,0,110400
BCAP,MNC Kapital Indonesia Tbk.,38906368927,38906368927,0,1979800
BCIC,Bank JTrust Indonesia Tbk.,9912003256,9912003256,0,0
BCIP,Bumi Citra Permai Tbk.,1429915525,1429915525,0,0
BDMN,Bank Danamon Indonesia Tbk.,9675817341,9675817341,748900,67000
BEEF,Estika Tata Tiara Tbk.,1884312535,1884312535,6300,27000
BEKS,Bank Pembangunan Daerah Banten Tbk.,63468336053,63468336053,0,0
BELL,Trisula Textile Industries Tbk.,1450000000,1450000000,0,0
BEST,Bekasi Fajar Industrial Estate Tbk.,9647311150,9647311150,628600,119800
BFIN,BFI Finance  Indonesia Tbk.,15967115620,15967115620,0,1700
BGTG,Bank Ganesha Tbk.,11063309400,11063309400,0,0
BHIT,MNC Investama Tbk.,67767400934,67767400934,220800,70500
BIKA,Binakarya Jaya Abadi Tbk.,592280000,592280000,0,0
BIMA,Primarindo Asia Infrastructure Tbk.,608175716,608175716,0,0
BINA,Bank Ina Perdana Tbk.,5597831250,5597831250,0,0
BIPI,Astrindo Nusantara Infrastruktur Tbk.,44693066193,44693066193,0,0
BIPP,Bhuwanatala Indah Permai Tbk.,5028669338,5028669338,0,0
BIRD,Blue Bird Tbk.,2502100000,2502100000,51700,25000
BISI,BISI International Tbk.,3000000000,3000000000,16900,0
BJBR,Bank Pembangunan Daerah Jawa Barat dan B,9740399289,9740399289,3464100,5094300
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,14852553796,14852553796,24430500,23190400
BKDP,Bukit Darmo Property Tbk,6830992252,6830992252,0,0
BKSL,Sentul City Tbk.,55258666379,55258666379,438300,3125200
BKSW,Bank QNB Indonesia Tbk.,20232319124,20232319124,0,0
BLTA,Berlian Laju Tanker Tbk,25940187103,25940187103,0,0
BLTZ,Graha Layar Prima Tbk.,873937142,873937142,0,0
BLUE,Berkah Prima Perkasa Tbk.,418000000,418000000,0,0
BM05,Benchmark Bond 05,1,1,0,0
BM10,Benchmark Bond 10,1,1,0,0
BMAS,Bank Maspion Indonesia Tbk.,4399026922,4399026922,0,0
BMRI,Bank Mandiri (Persero) Tbk.,46199999998,46199999998,44740900,18120100
BMSR,Bintang Mitra Semestaraya Tbk,1159200024,1159200024,0,0
BMTR,Global Mediacom Tbk.,15334511286,15334511286,5036100,14264700
BNBA,Bank Bumi Arta Tbk.,2286900000,2286900000,0,219200
BNBR,Bakrie & Brothers Tbk,20863053480,20863053480,0,0
BNGA,Bank CIMB Niaga Tbk.,24880290775,24880290775,265238,0
BNII,Bank Maybank Indonesia Tbk.,75357433911,75357433911,87400,180300
BNLI,Bank Permata Tbk.,27762311813,27762311813,1506300,2020900
BOGA,Bintang Oto Global Tbk.,3803373290,3803373290,69800,73600
BOLA,Bali Bintang Sejahtera Tbk.,6000000000,6000000000,0,0
BOLT,Garuda Metalindo Tbk.,2343750000,2343750000,0,0
BORN,Borneo Lumbung Energi & Metal Tbk.,17693000000,17693000000,0,0
BOSS,Borneo Olah Sarana Sukses Tbk.,1400000000,1400000000,248600,0
BPFI,Batavia Prosperindo Finance Tbk.,1782663575,1782663575,0,0
BPII,Batavia Prosperindo Internasional Tbk.,562224662,562224662,0,0
BPTR,Batavia Prosperindo Trans Tbk.,1550000000,1550000000,0,0
BRAM,Indo Kordsa Tbk.,450000000,450000000,500,0
BRIS,Bank BRIsyariah Tbk.,9618952363,9618952363,32600,218000
BRMS,Bumi Resources Minerals Tbk.,62322456902,62322456902,450000,2573800
BRNA,Berlina Tbk.,979110000,979110000,0,0
BRPT,Barito Pacific Tbk.,89010592570,89010592570,48288500,45931200
BSDE,Bumi Serpong Damai Tbk.,19246696192,19246696192,1023900,838300
BSIM,Bank Sinarmas Tbk.,16783894926,16783894926,3494700,15370100
BSSR,Baramulti Suksessarana Tbk.,2616500000,2616500000,0,0
BSWD,Bank Of India Indonesia Tbk.,1374912000,1374912000,0,0
BTEK,Bumi Teknokultura Unggul Tbk,46277496376,46277496376,0,366300
BTEL,Bakrie Telecom Tbk.,36822665755,36822665755,0,0
BTON,Betonjaya Manunggal Tbk.,720000000,720000000,0,0
BTPN,Bank BTPN Tbk.,8065876461,8065876461,2700,0
BTPS,Bank Tabungan Pensiunan Nasional Syariah,7626663000,7626663000,4597163,4437300
BUDI,Budi Starch & Sweetener Tbk.,4498997362,4498997362,20000,0
BUKK,Bukaka Teknik Utama Tbk.,2640452000,2640452000,3500,0
BULL,Buana Lintas Lautan Tbk.,11361534977,11361534977,5767800,250000
BUMI,Bumi Resources Tbk.,65476848358,65476848358,43603615,4237715
BUVA,Bukit Uluwatu Villa Tbk.,6811269200,6811269200,0,0
BVIC,Bank Victoria International Tbk.,8862427568,8862427568,0,5000
BWPT,Eagle High Plantations Tbk.,31525291000,31525291000,148900,0
BYAN,Bayan Resources Tbk.,3333333500,3333333500,0,0
CAKK,Cahayaputra Asa Keramik Tbk.,1203300006,1203300006,0,0
CAMP,Campina Ice Cream Industry Tbk.,5885000000,5885000000,3000,0
CANI,Capitol Nusantara Indonesia Tbk.,833440000,833440000,0,0
CARS,Industri dan Perdagangan Bintraco Dharma,15000000000,15000000000,4100,0
CASA,Capital Financial Indonesia Tbk.,54476232042,54476232042,75300,0
CASS,Cardig Aero Services Tbk.,2086950000,2086950000,0,0
CCSI,Communication Cable Systems Indonesia Tb,1000000000,1000000000,70400,137400
CEKA,Wilmar Cahaya Indonesia Tbk.,595000000,595000000,0,0
CENT,Centratama Telekomunikasi Indonesia Tbk.,31183464900,31183464900,0,0
CFIN,Clipan Finance Indonesia Tbk.,3984520457,3984520457,0,0
CINT,Chitose Internasional Tbk.,1000000000,1000000000,0,0
CITA,Cita Mineral Investindo Tbk.,3370734900,3370734900,0,0
CITY,Natura City Developments Tbk.,5402681154,5402681154,0,0
CKRA,Cakra Mineral Tbk.,5106021090,5106021090,0,0
CLAY,Citra Putra Realty Tbk.,2570000000,2570000000,60300,7800
CLEO,Sariguna Primatirta Tbk.,12000000000,12000000000,0,24800
CLPI,Colorpak Indonesia Tbk.,306338500,306338500,0,0
CMNP,Citra Marga Nusaphala Persada Tbk.,3620831944,3620831944,100,800
CMPP,AirAsia Indonesia Tbk.,10685124441,10685124441,0,0
CNKO,Exploitasi Energi Indonesia Tbk.,8956361206,8956361206,0,0
CNTB,Saham Seri B ( Centex Tbk ),130000000,130000000,0,0
CNTX,Century Textile Industry Tbk.,70000000,70000000,0,0
COCO,Wahana Interfood Nusantara Tbk.,554901873,554901873,0,0
COWL,Cowell Development Tbk.,4871214021,4871214021,0,0
CPIN,Charoen Pokphand Indonesia Tbk,16398000000,16398000000,3438725,3086700
CPRI,Capri Nusa Satu Properti Tbk.,2433375000,2433375000,0,0
CPRO,Central Proteina Prima Tbk.,59572382787,59572382787,0,0
CSAP,Catur Sentosa Adiprana Tbk.,4458352920,4458352920,0,0
CSIS,Cahayasakti Investindo Sukses Tbk.,1307000000,1307000000,2600,0
CTBN,Citra Tubindo Tbk.,800371500,800371500,0,0
CTRA,Ciputra Development Tbk.,18560303397,18560303397,7872800,5416100
CTTH,Citatah Tbk.,1230839821,1230839821,1500000,3000000
DART,Duta Anggada Realty Tbk.,3141390962,3141390962,0,0
DAYA,Duta Intidaya Tbk.,2420547025,2420547025,0,0
DEAL,Dewata Freightinternational Tbk.,1120046107,1120046107,0,191800
DEFI,Danasupra Erapacific Tbk,676000000,676000000,0,0
DEWA,Darma Henwa Tbk,21853733792,21853733792,0,0
DFAM,Dafam Property Indonesia Tbk.,1899480090,1899480090,0,0
DGIK,Nusa Konstruksi Enjiniring Tbk.,5541165000,5541165000,0,0
DIGI,Arkadia Digital Media Tbk.,325000000,325000000,0,0
DILD,Intiland Development Tbk.,10365854185,10365854185,581000,53900
DIVA,Distribusi Voucher Nusantara Tbk.,714285700,714285700,0,55000
DKFT,Central Omega Resources Tbk.,5638246600,5638246600,101600,241600
DLTA,Delta Djakarta Tbk.,800659050,800659050,0,0
DMAS,Puradelta Lestari Tbk.,48198111100,48198111100,46070100,85087500
DNAR,Bank Oke Indonesia Tbk.,6255638604,6255638604,0,0
DNET,Indoritel Makmur Internasional Tbk.,14184000000,14184000000,0,0
DOID,Delta Dunia Makmur Tbk.,8611686432,8611686432,861600,0
