STK_CODE,STK_NAME,STK_LIST,STK_100PC,FORE_SELL,FORE_BUY
AALI,Astra Agro Lestari Tbk.,1924688333,1924688333,91575,542375
ABBA,Mahaka Media Tbk.,2755125000,2755125000,925000,208100
ABDA,Asuransi Bina Dana Arta Tbk.,620806680,620806680,0,0
ABMM,ABM Investama Tbk.,2753165000,2753165000,0,0
ACES,Ace Hardware Indonesia Tbk.,17150000000,17150000000,18527900,15057700
ACST,Acset Indonusa Tbk.,700000000,700000000,175800,0
ADES,Akasha Wira International Tbk.,589896800,589896800,0,0
ADHI,Adhi Karya (Persero) Tbk.,3560849376,3560849376,23874700,18222500
ADMF,Adira Dinamika Multi Finance Tbk.,1000000000,1000000000,500,0
ADMG,Polychem Indonesia Tbk,3889179559,3889179559,1961400,0
ADRO,Adaro Energy Tbk.,31985962000,31985962000,4232225,9714825
AGII,Aneka Gas Industri Tbk.,3066660000,3066660000,801200,803200
AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,21129857328,21129857328,0,0
AGRS,Bank IBK Indonesia Tbk.,7037266148,7037266148,0,0
AHAP,Asuransi Harta Aman Pratama Tbk.,2940000000,2940000000,4500,0
AIMS,Akbar Indo Makmur Stimec Tbk,220000000,220000000,0,0
AISA,Tiga Pilar Sejahtera Food Tbk.,3218600000,3218600000,0,0
AKKU,Anugerah Kagum Karya Utama Tbk.,6449463636,6449463636,0,0
AKPI,Argha Karya Prima Industry Tbk.,680000000,680000000,0,0
AKRA,AKR Corporindo Tbk.,4014694920,4014694920,2404600,155700
AKSI,Majapahit Inti Corpora Tbk.,720000000,720000000,0,0
ALDO,Alkindo Naratama Tbk.,1100000000,1100000000,0,0
ALKA,Alakasa Industrindo Tbk,507665055,507665055,0,0
ALMI,Alumindo Light Metal Industry Tbk.,616000000,616000000,0,0
ALTO,Tri Banyan Tirta Tbk.,2191870558,2191870558,0,0
AMAG,Asuransi Multi Artha Guna Tbk.,5001552516,5001552516,0,0
AMFG,Asahimas Flat Glass Tbk.,434000000,434000000,84300,0
AMIN,Ateliers Mecaniques D Indonesie Tbk.,1080000000,1080000000,0,0
